#DoD Prov Names
PROV74;Holmeborg;Holmeborg;Holmeborg;;;;;;;;;;;
PROV75;Bjørkvik;Bjørkvik;Bjørkvik;;;;;;;;;;;
PROV73;Olavsstad;Olavsstad;Olavsstad;;;;;;;;;;;
PROV70;Ø;Ø;Ø;;;;;;;;;;;
PROV72;Ny Jelling;Ny Jelling;Ny Jelling;;;;;;;;;;;
PROV71;Frælsarborg;Frælsarborg;Frælsarborg;;;;;;;;;;;
PROV2625;Bjørnkøping;Bjørnkøping;Bjørnkøping;;;;;;;;;;;
PROV62;Blodvik;Blodvik;Blodvik;;;;;;;;;;;
PROV76;Scheffergård;Scheffergård;Scheffergård;;;;;;;;;;;
PROV2627;Stugvall;Stugvall;Stugvall;;;;;;;;;;;
PROV45;Storø;Storø;Storø;;;;;;;;;;;
PROV2592;Blikberget;Blikberget;Blikberget;;;;;;;;;;;
PROV2626;Saltberg;Saltberg;Saltberg;;;;;;;;;;;
PROV61;Dahlborg;Dahlborg;Dahlborg;;;;;;;;;;;
PROV59;Igeltræsk;Igeltræsk;Igeltræsk;;;;;;;;;;;
PROV60;Kalmarsborg;Kalmarsborg;Kalmarsborg;;;;;;;;;;;
PROV65;Erikshavn;Erikshavn;Erikshavn;;;;;;;;;;;
PROV64;Norrby;Norrby;Norrby;;;;;;;;;;;
PROV58;Frederikstad;Frederikstad;Frederikstad;;;;;;;;;;;
PROV63;Lillkøping;Lillkøping;Lillkøping;;;;;;;;;;;
PROV56;Bystierna;Bystierna;Bystierna;;;;;;;;;;;
PROV57;Sparrebark;Sparrebark;Sparrebark;;;;;;;;;;;
PROV46;Tajendenega;Tajendenega;Tajendenega;;;;;;;;;;;
PROV52;Olavshavn;Olavshavn;Olavshavn;;;;;;;;;;;
PROV51;Ruskåsen;Ruskåsen;Ruskåsen;;;;;;;;;;;
PROV48;Steinberg;Steinberg;Steinberg;;;;;;;;;;;
PROV2628;Brennervik;Brennervik;Brennervik;;;;;;;;;;;
PROV53;Natovasaga;Natovasaga;Natovasaga;;;;;;;;;;;
PROV55;Mississagin;Mississagin;Mississagin;;;;;;;;;;;
PROV54;Skanadarsvatn;Skanadarsvatn;Skanadarsvatn;;;;;;;;;;;
PROV50;Sandvika;Sandvika;Sandvika;;;;;;;;;;;
PROV47;Eyjafjallajøkull;Eyjafjallajøkull;Eyjafjallajøkull;;;;;;;;;;;
PROV50;Sandvika;Sandvika;Sandvika;;;;;;;;;;;
PROV250;Markby;Markby;Markby;;;;;;;;;;;
PROV67;Bååthamn;Bååthamn;Bååthamn;;;;;;;;;;;
PROV66;Kusbøle;Kusbøle;Kusbøle;;;;;;;;;;;
PROV239;Leifheim;Leifheim;Leifheim;;;;;;;;;;;
PROV238;Nijverdal;Nijverdal;Nijverdal;;;;;;;;;;;
PROV3298;Ganigia;;;;;;;;;;;;;
