#State Names
VIN_1;Markland;;;;;;;;;;;;;
VIN_2;Masgirland;;;;;;;;;;;;;
VIN_3;Kristiania;;;;;;;;;;;;;;
VIN_4;Vinland;;;;;;;;;;;;;
VIN_5;Kroneland;;;;;;;;;;;;;
VIN_6;Nordelv;;;;;;;;;;;;;;
VIN_7;Nuremborg;;;;;;;;;;;;;
VIN_8;Skrælingmark;;;;;;;;;;;;;
VIN_9;Odawamark;;;;;;;;;;;;;
VIN_21;Helluland;;;;;;;;;;;;;;
VIN_10;Karibjørnia;;;;;;;;;;;;;
VIN_11;Nunavut;;;;;;;;;;;;;;
VIN_12;Ganigialand;;;;;;;;;;;;;;
VIN_13;Eriesland;;;;;;;;;;;;;
VIN_14;Potomimark;;;;;;;;;;;;;;
VIN_15;Menemene;;;;;;;;;;;;;;
VIN_16;Illnimark;;;;;;;;;;;;;
VIN_17;Coskaquias;;;;;;;;;;;;;
VIN_18;Ouïskonsin;;;;;;;;;;;;;
VIN_19;Atabaska;;;;;;;;;;;;;
VIN_20;Aokone;;;;;;;;;;;;;
NBG_1;Carolina;;;;;;;;;;;;;
NBG_2;Philippine;;;;;;;;;;;;;
NBG_3;Nouvelle Flandre;;;;;;;;;;;;;
NBG_4;Nouvelle Lorraine;;;;;;;;;;;;;
NBG_5;Basse Valoisie;;;;;;;;;;;;;
NBG_6;Flandre Supérieure;;;;;;;;;;;;;
NBG_7;Haute Valoisie;;;;;;;;;;;;;
PLA_1;Sanacomie;;;;;;;;;;;;;
PLA_2;Pays Tsalagi;;;;;;;;;;;;;
PLA_3;Chaouenons;;;;;;;;;;;;;
PLA_4;Louisiane Royale;;;;;;;;;;;;;
PLA_5;Charlésie;;;;;;;;;;;;;
PLA_6;Alibamon;;;;;;;;;;;;;
PLA_7;Nouvelle France;;;;;;;;;;;;;
PLA_8;Nouvelle Angleterre;;;;;;;;;;;;;
PLA_9;Messisipi;;;;;;;;;;;;;
PLA_10;Monts Aux Arcs;;;;;;;;;;;;;
PLA_11;Osagerie;;;;;;;;;;;;;
PLA_12;Akansa;;;;;;;;;;;;;
PLA_13;Les Pains;;;;;;;;;;;;;
HHR_1;Winepi;;;;;;;;;;;;;
HHR_2;Provisional North Alberta;;;;;;;;;;;;;
HHR_3;Mehti;;;;;;;;;;;;;
HHR_4;Les Pains;;;;;;;;;;;;;
BFK_1;Omaka-ty;Wenyuan;;;;;;;;;;;;
BFK_2;Niitsitpiis-stahkoii;Terres Rouges;;;;;;;;;;;;
OUM_1;Minchichanes Nébraskies;;;;;;;;;;;;;
DIN_1;Rio Vermelho;;;;;;;;;;;;;
DNG_1;Minxing;;;;;;;;;;;;;
DNG_2;Xiaosong;;;;;;;;;;;;;
DNG_3;Shinfusou;;;;;;;;;;;;;
DNG_4;Weiguo;;;;;;;;;;;;;
DNG_5;Tanggu;;;;;;;;;;;;;
DNG_6;Dayan;;;;;;;;;;;;;
DNG_7;Baimin;;;;;;;;;;;;;
DNG_8;Qingqiu;;;;;;;;;;;;;
DNG_9;Zhongrong;;;;;;;;;;
DNG_10;Yingtu;;;;;;;;;;;;;
DNG_11;Xingtian;;;;;;;;;;;;;
LUS_1;Apacheria;;;;;;;;;;;;;
LUS_2;California;California;California;;;;;;;;;;;
LUS_3;Terras Vermelhas;Terras Vermelhas;Terras Vermelhas;;;;;;;;;;;
LUS_4;Bahia;;;;;;;;;;;;;
LUS_5;Santa Catarina;Santa Catarina;Santa Catarina;;;;;;;;;;;
LUS_6;Tejas;Tejas;Tejas;;;;;;;;;;;
LUS_7;Rio Grande;;;;;;;;;;;;;
MEX_1;Durango;Durango;Durango;;;;;;;;;;;
MEX_2;Nuoba Galízia;;;;;;;;;;;
MEX_3;Jalisco;Jalisco;Jalisco;;;;;;;;;;;
MEX_4;Mexico Valley;;;;;;;;;;;;;
MEX_5;Veracruz;;;;;;;;;;;;;
MEX_6;Morelia;Morelia;Morelia;;;;;;;;;;;
MEX_7;Acapulco;;;;;;;;;;;
MEX_8;Tlaxiaco;;;;;;;;;;;
MEX_9;Oaxaca;Oaxaca;Oaxaca;;;;;;;;;;;
MEX_11;Yucatán;Yucatán;Yucatán;;;;;;;;;;;
SAL_1;Guatemala;Guatemala;Guatemala;;;;;;;;;;;
SAL_2;San Salvador;San Salvador;San Salvador;;;;;;;;;;;
SAL_3;Managua;Managua;Managua;;;;;;;;;;;
SAL_4;Costa Rica;Costa Rica;Costa Rica;;;;;;;;;;;
SAL_5;Andagoya;Andagoya;Andagoya;;;;;;;;;;;
GRA_1;Cauca;Cauca;Cauca;;Cauca;;;;;;;;;x;
GRA_2;Antioquía;Antioquía;Antioquía;;;;;;;;;;;
GRA_3;Zulia;Zulia;Zulia;;;;;;;;;;;
GRA_4;Aureliana;;;;;;;;;;
GRA_5;Llanos Orientales;Llanos Orientales;Llanos Orientales;;;;;;;;;;;
GRA_6;Delta del Orinoco;Delta del Orinoco;Delta del Orinoco;;;;;;;;;;;
GRA_7;Llanos Occidentales;;;;;;;;;;
GRA_8;Guayana Occidental;;;;;;;;;;
GRA_9;Guayana Septentrional;Guayana Septentrional;Guayana Septentrional;;;;;;;;;;;
GRA_10;Guayana Meridional;Guayana Meridional;Guayana Meridional;;;;;;;;;;;
GRA_11;Cundinamarca;Cundinamarca;Cundinamarca;;;;;;;;;;;
GRA_12;Amazonía Granadina;Amazonía Granadina;Amazonía Granadina;;;;;;;;;;;
INC_1;Guayaquil;;;;;;;;;;;
INC_2;Ecuador;Equateur;Ecuador;;;;;;;;;;;
INC_3;Cajamarca;Cajamarca;Cajamarca;;;;;;;;;;;
INC_4;Huancavelica;;;;;;;;;;;
INC_5;Huaytará;Ariaka;Ariaka;;;;;;;;;;;
INC_6;Cuntinsuyu;Cuntinsuyu;Cuntinsuyu;;;;;;;;;;;
INC_7;Cuzco;Cuzco;Cuzco;;;;;;;;;;;
INC_8;Qullaw;Qullaw;Qullaw;;;;;;;;;;;
INC_9;Atacama;Atacama;Atacama;;;;;;;;;;;x
INC_10;Chinpacha;Chinpacha;Chinpacha;;;;;;;;;;;
INC_11;Far Collasuyu;Far Collasuyu;Far Collasuyu;;;;;;;;;;;
INC_12;Forowe;;;;;;;;;;;
INC_13;Land's End;;;;;;;;;;;;;
INC_14;Kukuymarka;Kukuymarka;Kukuymarka;;;;;;;;;;;
INC_15;Kiri-Kiri;Kiri-Kiri;Kiri-Kiri;;;;;;;;;;;
INC_16;Kuchichay;;;;;;;;;;;
EQN_1;Amazonia Occidental;Amazonia Occidental;Amazonia Occidental;;;;;;;;;;;
EQN_2;Antisuyu;Antisuyu;Antisuyu;;;;;;;;;
EQN_3;Yuga;;;;;;;;;
EQN_4;Proche Amazonie;Proche Amazonie;Proche Amazonie;;;;;;;;;;;
EQN_5;Amazonie Inférieure;Amazonie Inférieure;Amazonie Inférieure;;;;;;;;;;;
AVA_1;Northweald;Northweald;Northweald;;;;;;;;;;;
AZL_1;Cappadoce;Cappadoce;Cappadoce;;;;;;;;;;;
AZL_2;France Antartique;France Antartique;France Antartique;;;;;;;;;;;
AZL_3;Côte du Sucre;Côte du Sucre;Côte du Sucre;;;;;;;;;;;
AZL_4;Monts-Diamants;Monts-Diamants;Monts-Diamants;;;;;;;;;;;
AZL_5;Villefranche d'Amazonie;;;;;;;;;;;
AZL_6;Gouas;Gouas;Gouas;;;;;;;;;;;
AZL_7;Côte du Café;Côte du Café;Côte du Café;;;;;;;;;;;
AZL_8;Libreville;;;;;;;;;;;
AZL_9;Nouvelle Alsace;Nouvelle Alsace;Nouvelle Alsace;;;;;;;;;;;
AZL_10;Vire-le-Grand;;;;;;;;;;;
AZL_11;Lorraine Atlantique;Lorraine Atlantique;Lorraine Atlantique;;;;;;;;;;;
AZL_12;Bourgogne-du-Sud;Lorraine-du-Sud;Lorraine-du-Sud;;;;;;;;;;;
AZL_13;Chaco Boreal;Chaco Boreal;Chaco Boreal;;;;;;;;;;;
AZL_14;Marches Ouest;Marches Ouest;Marches Ouest;;;;;;;;;;;
AZL_15;Transfleuve;Transfleuve;Transfleuve;;;;;;;;;;;
NAN_1;Avalon;Avalon;Avalon;;;;;;;;;;;
NAN_2;Providence;;;;;;;;;;;
NAN_3;Wessex;Wessex;Wessex;;;;;;;;;;;
NAN_4;Southweald;Southweald;Southweald;;;;;;;;;;;
NAN_5;New Eden;;;;;;;;;;;
NAN_6;Whitehaven;;;;;;;;;;;
NAN_7;New Cornwall;New Cornwall;New Cornwall;;;;;;;;;;;
